date,01-unknown,01-unknown-cumulative,02-export-tenths-watt,02-export-tenths-watt-cumulative,03-unknown,03-unknown-cumulative,04-unknown,04-unknown-cumulative,09-unknown,09-unknown-cumulative,10-also-export-tenths-watt,10-also-export-tenths-watt-cumulative,13-unknown,14-unknown,21-unknown,21-unknown-cumulative,22-unknown,22-unknown-cumulative,23-unknown,23-unknown-cumulative,24-unknown,24-unknown-cumulative,29-unknown,29-unknown-cumulative,30-unknown,30-unknown-cumulative,31-unknown,32-unknown,33-unknown,36864-unknown,41-unknown,41-unknown-cumulative,42-unknown,42-unknown-cumulative,43-unknown,43-unknown-cumulative,44-unknown,44-unknown-cumulative,49-unknown,49-unknown-cumulative,50-unknown,50-unknown-cumulative,51-unknown,52-unknown,53-unknown,61-unknown,61-unknown-cumulative,62-unknown,62-unknown-cumulative,63-unknown,63-unknown-cumulative,64-unknown,64-unknown-cumulative,69-unknown,69-unknown-cumulative,70-unknown,70-unknown-cumulative,71-unknown,72-unknown,73-unknown,uptime-millis
2023-06-04 09:42:00.660461,0,63068109480,72267,53595295920,6127,25737155280,0,13824281520,0,75456350280,72526,58375976760,996,50033,0,30291592680,22695,20801554200,3065,14019774840,0,1214175600,0,33096908160,22901,22112117280,9718,235789,991,0,0,24967402560,28026,23203458720,1792,8865581760,0,7048371240,0,30005929800,28083,23875910640,11522,243821,998,0,22961136240,21546,24742307160,1270,5568456960,0,8278391880,0,28122132600,21584,25347139200,9049,239745,998,2244540610
2023-06-04 09:43:00.639762,0,63068109480,69956,53595715680,3303,25737182640,0,13824281520,0,75456350280,70034,58376397240,999,49998,0,30291592680,21989,20801686680,2356,14019790680,0,1214175600,0,33096908160,22115,22112250840,9431,234622,994,0,0,24967402560,27422,23203622520,516,8865587880,0,7048371240,0,30005929800,27426,23876074800,11248,243906,1000,0,22961136240,20546,24742431000,431,5568462000,0,8278391880,0,28122132600,20550,25347262680,8647,239115,1000,2244600590
2023-06-04 09:44:00.631061,0,63068109480,70313,53596134000,4109,25737206400,0,13824281520,0,75456350280,70433,58376816280,998,50011,0,30291592680,21181,20801817000,2579,14019805800,0,1214175600,0,33096908160,21337,22112382240,9073,235324,993,0,0,24967402560,25345,23203779120,898,8865592560,0,7048371240,0,30005929800,25361,23876231400,10417,243568,999,0,22961136240,23787,24742562040,632,5568465960,0,8278391880,0,28122132600,23795,25347393720,9948,240037,1000,2244660580
2023-06-04 09:45:00.620870,0,63068109480,71272,53596555560,2709,25737225840,0,13824281520,0,75456350280,71323,58377238560,999,50034,0,30291592680,21743,20801944440,2108,14019819840,0,1214175600,0,33096908160,21845,22112510040,9248,236360,995,0,0,24967402560,25684,23203931400,286,8865596160,0,7048371240,0,30005929800,25686,23876383680,10562,243266,1000,0,22961136240,23844,24742704240,315,5568468480,0,8278391880,0,28122132600,23846,25347536280,10061,237939,1000,2244720570
2023-06-04 09:46:00.602058,0,63068109480,69928,53596975320,1838,25737238440,0,13824281520,0,75456350280,69953,58377658320,1000,50006,0,30291592680,22771,20802078720,1759,14019831000,0,1214175600,0,33096908160,22839,22112645040,9659,236581,997,0,0,24967402560,24472,23204079360,15,8865596880,0,7048371240,0,30005929800,24472,23876531640,10070,243122,1000,0,22961136240,22685,24742841400,64,5568469200,0,8278391880,0,28122132600,22685,25347673440,9578,237804,1000,2244780550
2023-06-04 09:47:00.590616,0,63068109480,71901,53597394000,1799,25737247080,0,13824281520,0,75456350280,71923,58378077360,1000,49972,0,30291592680,23485,20802210120,1769,14019841080,0,1214175600,0,33096908160,23551,22112776800,9953,236740,997,0,0,24967402560,27397,23204230920,0,8865596880,106,7048371960,0,30005929800,27397,23876683200,11263,243329,1000,0,22961136240,21019,24742977120,136,5568469200,0,8278392600,0,28122132600,21020,25347809520,8901,237346,1000,2244840540
2023-06-04 09:48:00.582066,0,63068109480,69863,53597814120,1660,25737257520,0,13824281520,0,75456350280,69883,58378497480,1000,49992,0,30291592680,23587,20802350880,1713,14019851520,0,1214175600,0,33096908160,23650,22112917920,10008,236438,997,0,0,24967402560,26601,23204390760,0,8865596880,127,7048372680,0,30005929800,26602,23876843400,10948,243053,1000,0,22961136240,19674,24743097000,74,5568469920,0,8278392600,0,28122132600,19675,25347929040,8342,237438,1000,2244900531
2023-06-04 09:49:00.571606,0,63068109480,70058,53598233880,3187,25737274080,0,13824281520,0,75456350280,70130,58378917240,999,49998,0,30291592680,21473,20802483000,2277,14019864120,0,1214175600,0,33096908160,21593,22113050760,9185,235255,994,0,0,24967402560,27652,23204554920,492,8865599040,0,7048372680,0,30005929800,27657,23877007200,11360,243541,1000,0,22961136240,20932,24743220120,418,5568471720,0,8278392600,0,28122132600,20937,25348052160,8799,239239,1000,2244960520
2023-06-04 09:50:00.550206,0,63068109480,69932,53598653640,3720,25737292800,0,13824281520,0,75456350280,70031,58379337360,999,50009,0,30291592680,21997,20802614040,2391,14019877440,0,1214175600,0,33096908160,22127,22113182160,9399,235567,994,0,0,24967402560,27424,23204719800,667,8865601560,0,7048372680,0,30005929800,27432,23877172080,11271,243457,1000,0,22961136240,20511,24743343960,662,5568474240,0,8278392600,0,28122132600,20522,25348176000,8637,239034,999,2245020500
2023-06-04 09:51:00.541937,0,63068109480,73754,53599071240,3567,25737311880,0,13824281520,0,75456350280,73840,58379756040,999,49992,0,30291592680,21241,20802736440,2433,14019891120,0,1214175600,0,33096908160,21380,22113305280,9099,235118,994,0,0,24967402560,26751,23204872800,752,8865605520,0,7048372680,0,30005929800,26761,23877325440,10992,243535,1000,0,22961136240,25761,24743486520,382,5568476040,0,8278392600,0,28122132600,25764,25348318560,10780,239709,1000,2245080491
2023-06-04 09:52:00.531325,0,63068109480,69871,53599491360,3023,25737330600,0,13824281520,0,75456350280,69936,58380176520,999,50008,0,30291592680,18772,20802849840,2232,14019904800,0,1214175600,0,33096908160,18904,22113419760,8048,235081,993,0,0,24967402560,26084,23205029040,508,8865609120,0,7048372680,0,30005929800,26089,23877481680,10727,243289,1000,0,22961136240,25015,24743636640,283,5568477480,0,8278392960,0,28122132600,25017,25348468680,10517,238588,1000,2245140480
2023-06-04 09:53:00.511561,0,63068109480,69862,53599910400,2723,25737347160,0,13824281520,0,75456350280,69915,58380595560,999,50003,0,30291592680,18439,20802960720,2165,14019917760,0,1214175600,0,33096908160,18566,22113531360,7922,234548,993,0,0,24967402560,26290,23205186360,467,8865612000,0,7048372680,0,30005929800,26294,23877639000,10805,243436,1000,0,22961136240,25133,24743787480,91,5568478200,0,8278392960,0,28122132600,25133,25348619520,10523,239696,1000,2245200460
2023-06-04 09:54:00.501887,0,63068109480,71560,53600329440,873,25737359040,0,13824281520,0,75456350280,71565,58381014600,1000,50007,0,30291592680,19046,20803071600,1623,14019929280,0,1214175600,0,33096908160,19115,22113642960,8157,234526,996,0,0,24967402560,26474,23205342960,0,8865613440,210,7048373400,0,30005929800,26475,23877795600,10876,243514,1000,0,22961136240,26040,24743938680,0,5568478560,540,8278394040,0,28122132600,26045,25348771080,10953,238035,1000,2245260450
2023-06-04 09:55:00.491129,0,63068109480,69942,53600749920,0,25737361920,21,13824281520,0,75456350280,69942,58381435440,1000,49981,0,30291592680,18551,20803183200,1262,14019937920,0,1214175600,0,33096908160,18594,22113754920,7904,235449,998,0,0,24967402560,25908,23205498840,0,8865613440,540,7048375560,0,30005929800,25913,23877951480,10666,243027,1000,0,22961136240,25483,24744092040,0,5568478560,744,8278397640,0,28122132600,25494,25348924440,10727,237901,1000,2245320440
2023-06-04 09:56:00.472442,0,63068109480,69950,53601169320,257,25737361920,0,13824282960,0,75456350280,69950,58381854840,1000,49961,0,30291592680,18299,20803292280,1158,14019945120,0,1214175600,0,33096908160,18336,22113864360,7799,235314,998,0,0,24967402560,26537,23205655800,0,8865613440,579,7048379160,0,30005929800,26543,23878108440,10936,242812,1000,0,22961136240,25114,24744245400,0,5568478560,322,8278402320,0,28122132600,25116,25349077800,10599,237773,1000,2245380420
2023-06-04 09:57:00.461105,0,63068109480,68771,53601588000,8175,25737378120,0,13824283680,0,75456350280,69255,58382274240,993,49967,0,30291592680,20167,20803407120,1635,14019952320,0,1214175600,0,33096908160,20233,22113979200,8608,235217,997,0,0,24967402560,26289,23205814200,6752,8865626760,0,7048381320,0,30005929800,27143,23878268280,11295,242612,969,0,22961136240,22315,24744391200,0,5568478560,212,8278405560,0,28122132600,22316,25349223240,9407,238377,1000,2245440410
2023-06-04 09:58:00.452292,0,63068109480,53618,53601951960,1087,25737414120,0,13824283680,0,75456350280,53629,58382640720,1000,49997,0,30291592680,20050,20803525920,1477,14019961320,0,1214175600,0,33096908160,20104,22114098360,8570,234773,997,0,0,24967402560,9788,23205920400,0,8865655920,129,7048381320,0,30005929800,9789,23878383120,4074,241031,1000,0,22961136240,23780,24744529800,0,5568478560,260,8278407360,0,28122132600,23782,25349362200,9966,239780,1000,2245500401
2023-06-04 09:59:00.441412,0,63068109480,61853,53602301520,316,25737451920,0,13824283680,0,75456350280,61854,58382993520,1000,49979,0,30291592680,28260,20803682520,1109,14019968880,0,1214175600,0,33096908160,28281,22114255320,12004,235686,999,0,0,24967402560,9934,23205971160,0,8865688320,396,7048382040,0,30005929800,9942,23878448280,4139,240854,999,0,22961136240,23659,24744672360,0,5568478560,397,8278409160,0,28122132600,23662,25349504760,9950,238937,1000,2245560390
2023-06-04 10:00:00.420815,0,63068109480,63063,53602668720,666,25737489000,0,13824283680,0,75456350280,63067,58383363240,1000,49968,0,30291592680,29212,20803856040,1192,14019975720,0,1214175600,0,33096908160,29236,22114428840,12417,235523,999,0,0,24967402560,10027,23206022280,0,8865721080,186,7048382760,0,30005929800,10029,23878513800,4181,240575,1000,0,22961136240,23824,24744814560,0,5568478560,341,8278410960,0,28122132600,23826,25349646960,9981,239829,1000,2245620371
2023-06-04 10:01:00.411420,0,63068109480,68579,53603045640,80,25737521400,0,13824284400,0,75456350280,68579,58383742320,1000,49981,0,30291592680,29218,20804031720,1098,14019981120,0,1214175600,0,33096908160,29239,22114604520,12440,235117,999,0,0,24967402560,10083,23206074120,0,8865752040,305,7048383480,0,30005929800,10087,23878578960,4205,240526,1000,0,22961136240,29278,24744964320,0,5568478560,713,8278414920,0,28122132600,29287,25349796720,12243,239717,1000,2245680360
